idh,idp,top,cec,ca,mg,k,na,bsum_sisinta,bsum_calculada,bsat,bsum_diff
28358,1,0,14.1,7,2.8,2.3,0.4,12.5,12.5,NA,0
28359,1,18,16.6,10.8,3,2.2,0.4,16.4,16.400000000000002,NA,-3.552713678800501e-15
1924,3,0,20.8,10.3,3.2,3.2,0.3,17,17,82,0
1925,3,12,18.4,9.5,3.5,2.8,0.4,16.2,16.2,88,0
28684,4,0,24.3,15.1,3.1,2.3,0.3,20.8,20.8,86,0
28685,4,21,34.5,18.4,6.9,3.5,1,29.8,29.799999999999997,86,3.552713678800501e-15
28381,6,0,8,5.2,2.4,1.4,0.3,9.3,9.3,100,0
28392,7,0,7.9,3.7,2.5,2.6,0.4,9.2,9.200000000000001,NA,-1.7763568394002505e-15
28408,18,0,16.2,10.4,1.5,3.2,0.1,15.2,15.200000000000001,NA,-1.7763568394002505e-15
28409,18,14,16.9,12.1,1.8,1.8,0.6,16.3,16.3,NA,0
28520,22,0,14.9,4.4,3.9,1.4,0.6,10.3,10.3,69,0
28521,22,24,20.2,6,6.7,2.4,5.7,20.8,20.8,100,0
9,28,0,22.9,13.2,2.8,2.3,0.3,18.6,18.599999999999998,81,3.552713678800501e-15
28875,28,10,21,13.2,2.4,1.4,0.3,17.3,17.3,82,0
28876,28,18,15.2,9.6,2.7,1.4,0.3,14,14,92,0
27488,38,0,14.4,6.3,2.2,2,1.2,11.7,11.7,50,0
15208,46,0,22.1,11.8,3.7,3.1,0.2,18.8,18.8,85,0
15209,46,20,20.6,10.4,3.5,3.1,0.2,17.2,17.2,83,0
28706,51,0,18.9,12.8,2.4,1.5,0.4,17.1,17.1,90,0
28707,51,15,19.1,12.5,1.6,1.7,0.4,16.2,16.2,85,0
28515,54,0,11.4,6.9,2.2,1.1,0.3,9.3,10.5,92,-1.1999999999999993
28516,54,23,11.6,7.7,2,1.1,0.3,11.1,11.1,96,0
28526,63,0,10.2,4.6,0.7,2,0.4,7.7,7.699999999999999,76,8.881784197001252e-16
28527,63,13,7.8,4.4,0.6,1.4,0.4,6.8,6.800000000000001,87,-8.881784197001252e-16
28530,65,0,11.3,5.1,2.1,1.3,1.6,10.1,10.1,89,0
28534,70,0,17.6,6.1,2.3,1.2,8,17.6,17.599999999999998,100,3.552713678800501e-15
28563,72,0,9.1,3.8,1.3,1.5,0.8,7.4,7.4,81,0
28564,72,18,8.4,3.3,1.1,1.6,2.3,8.3,8.3,99,0
28544,73,0,12.8,NA,NA,3.3,5.3,NA,8.6,NA,NA
28545,73,22,10.4,NA,NA,2.1,5.9,NA,8,NA,NA
28548,75,0,18.4,10.5,2.3,3.5,0.5,16.8,16.8,91,0
27330,82,0,3.46,2.83,1.16,0.25,0.24,4.48,4.48,100,0
15233,85,0,15.1,5.9,2.2,2,3.4,13.5,13.5,89,0
15240,86,0,20.9,11.1,2.4,1.3,1.3,16.1,16.1,77,0
15241,86,23,13.6,7.2,2.2,0.9,3,13.3,13.3,98,0
28551,92,0,10.1,4.9,1.2,2.5,0.3,8.9,8.9,88,0
28556,107,0,11.4,6.5,1.9,2.6,0.2,11.2,11.2,98,0
28557,107,15,10,4.5,1.4,2.4,0.4,8.7,8.7,87,0
28430,108,0,21.1,12.6,1.7,0.8,0.2,15.3,15.299999999999999,73,1.7763568394002505e-15
28431,108,15,21.1,12.8,1.9,0.5,0.3,15.5,15.5,77,0
28432,108,22,16.2,11.4,2.4,0.2,0.4,14.4,14.4,88,0
