idh,idp,y,x,top,bot,colh,cols,cec,bsum,bsat,oc,ph,clay,h_humedo,value_humedo,chroma_humedo,h_seco,value_seco,chroma_seco
28358,1,-34.1725,-61.85,0,18,10YR 3/2,NA,14.1,12.5,NA,1.41,6.9,15.9,10YR,3,2,NA,,
28359,1,-34.1725,-61.85,18,32,7.5YR 4/2,NA,16.6,16.4,NA,0.38,7.9,13.6,7.5YR,4,2,NA,,
28360,1,-34.1725,-61.85,32,69,7.5YR 4/4,NA,25.3,NA,NA,NA,9.2,27.5,7.5YR,4,4,NA,,
1924,3,-34.463391,-60.742705,0,12,10YR 3/1,10YR 4/1,20.8,17,82,2.8,6.4,17.2,10YR,3,1,10YR,4,1
1925,3,-34.463391,-60.742705,12,25,10YR 3/1,NA,18.4,16.2,88,1.8,6.9,17.4,10YR,3,1,NA,,
1926,3,-34.463391,-60.742705,25,35,10YR 4/2,10YR 6/2,14.1,14.6,100,0.82,7.2,14.6,10YR,4,2,10YR,6,2
1927,3,-34.463391,-60.742705,35,65,10YR 3/4,10YR 4/4,18.3,16.8,92,0.45,7.5,30.2,10YR,3,4,10YR,4,4
28684,4,-35.096929,-58.350114,0,21,10YR 3/1,10YR 4/1,24.3,20.8,86,2.97,7,28.4,10YR,3,1,10YR,4,1
28685,4,-35.096929,-58.350114,21,54,7.5YR 4/2,7.5YR 6/2,34.5,29.8,86,0.33,7.4,47.6,7.5YR,4,2,7.5YR,6,2
28381,6,-34.872,-62.407417,0,36,7.5YR 3/3,7.5YR 5/3,8,9.3,100,0.77,6.3,13.1,7.5YR,3,3,7.5YR,5,3
28382,6,-34.872,-62.407417,36,74,7.5YR 3/4,NA,7.2,7.7,100,0.3,6.5,13.5,7.5YR,3,4,NA,,
28392,7,-34.106667,-62.2,0,27,10YR 4/2,NA,7.9,9.2,NA,0.56,7.3,10.7,10YR,4,2,NA,,
28393,7,-34.106667,-62.2,27,50,10YR 3/2,NA,27.5,NA,NA,0.05,9.1,25.1,10YR,3,2,NA,,
28394,7,-34.106667,-62.2,50,71,7.5YR 4/4,NA,19,NA,NA,0.04,9.7,14.9,7.5YR,4,4,NA,,
28408,18,-33.833333,-59.424444,0,14,10YR 3/2,10YR 4.5/2,16.2,15.2,NA,1.86,6.1,20.7,10YR,3,2,10YR,4.5,2
28409,18,-33.833333,-59.424444,14,26,10YR 2/2,10YR 5/3,16.9,16.3,NA,1.41,6.2,26,10YR,2,2,10YR,5,3
28411,18,-33.833333,-59.424444,26,47,10YR 3/2,10YR 5/3,14.5,13.9,NA,0.69,6.1,25.4,10YR,3,2,10YR,5,3
28412,18,-33.833333,-59.424444,47,107,7.5YR 4/2,7.5YR 5/4,25.6,23.9,NA,0.51,6.5,45.3,7.5YR,4,2,7.5YR,5,4
28520,22,-34.457222,-62.807778,0,24,5YR 2/2,NA,14.9,10.3,69,1.58,6.5,19.3,5YR,2,2,NA,,
28521,22,-34.457222,-62.807778,24,39,5YR 4/3,NA,20.2,20.8,100,0.44,8.8,27.4,5YR,4,3,NA,,
28522,22,-34.457222,-62.807778,39,76,5YR 4/4,NA,18.1,21.4,100,0.13,9.4,18,5YR,4,4,NA,,
9,28,-35.179308,-58.291634,0,10,10YR 3/2,10YR 5/1,22.9,18.6,81,3.41,6.3,23.5,10YR,3,2,10YR,5,1
28875,28,-35.179308,-58.291634,10,18,10YR 3/2,10YR 5/1,21,17.3,82,2.23,6.8,22.2,10YR,3,2,10YR,5,1
28876,28,-35.179308,-58.291634,18,31,10YR 3/3,10YR 5/2,15.2,14,92,1.17,6.9,20.9,10YR,3,3,10YR,5,2
28877,28,-35.179308,-58.291634,31,50,7.5YR 4/2,7.5YR 5/2,26.2,22.3,85,0.75,6.9,43.5,7.5YR,4,2,7.5YR,5,2
28878,28,-35.179308,-58.291634,50,88,7.5YR 4/4,7.5YR 6/4,23.1,20.5,88,0.25,7.4,42.7,7.5YR,4,4,7.5YR,6,4
27488,38,-35.788333,-61.930833,0,28,10YR 3/2,NA,14.4,11.7,50,1.7,7.3,18,10YR,3,2,NA,,
