idh,idp,y,x,top,bot,colh,cols,cec,bsum,bsat,oc,ph,clay,h_humedo,value_humedo,chroma_humedo,h_seco,value_seco,chroma_seco
28358,1,"-34.17250","-61.85000",0,18,"10YR3/2",,14100,12500,,"1.41","6.90","15.90","10YR",3,2,,,
28359,1,"-34.17250","-61.85000",18,32,"7.5YR4/2",,16600,16400,,"0.38","7.90","13.60","7.5YR",4,2,,,
28360,1,"-34.17250","-61.85000",32,69,"7.5YR4/4",,25300,,,,"9.20","27.50","7.5YR",4,4,,,
1924,3,"-34.46339","-60.74271",0,12,"10YR3/1","10YR4/1",20800,17000,"82.00","2.80","6.40","17.20","10YR",3,1,"10YR",4,1
1925,3,"-34.46339","-60.74271",12,25,"10YR3/1",,18400,16200,"88.00","1.80","6.90","17.40","10YR",3,1,,,
1926,3,"-34.46339","-60.74271",25,35,"10YR4/2","10YR6/2",14100,14600,"100.00","0.82","7.20","14.60","10YR",4,2,"10YR",6,2
1927,3,"-34.46339","-60.74271",35,65,"10YR3/4","10YR4/4",18300,16800,"92.00","0.45","7.50","30.20","10YR",3,4,"10YR",4,4
28684,4,"-35.09693","-58.35011",0,21,"10YR3/1","10YR4/1",24300,20800,"86.00","2.97","7.00","28.40","10YR",3,1,"10YR",4,1
28685,4,"-35.09693","-58.35011",21,54,"7.5YR4/2","7.5YR6/2",34500,29800,"86.00","0.33","7.40","47.60","7.5YR",4,2,"7.5YR",6,2
28381,6,"-34.87200","-62.40742",0,36,"7.5YR3/3","7.5YR5/3",8000,9300,"100.00","0.77","6.30","13.10","7.5YR",3,3,"7.5YR",5,3
28382,6,"-34.87200","-62.40742",36,74,"7.5YR3/4",,7200,7700,"100.00","0.30","6.50","13.50","7.5YR",3,4,,,
28392,7,"-34.10667","-62.20000",0,27,"10YR4/2",,7900,9200,,"0.56","7.30","10.70","10YR",4,2,,,
28393,7,"-34.10667","-62.20000",27,50,"10YR3/2",,27500,,,"0.05","9.10","25.10","10YR",3,2,,,
28394,7,"-34.10667","-62.20000",50,71,"7.5YR4/4",,19000,,,"0.04","9.70","14.90","7.5YR",4,4,,,
28408,18,"-33.83333","-59.42444",0,14,"10YR3/2","10YR4.5/2",16200,15200,,"1.86","6.10","20.70","10YR",3,2,"10YR",4.5,2
28409,18,"-33.83333","-59.42444",14,26,"10YR2/2","10YR5/3",16900,16300,,"1.41","6.20","26.00","10YR",2,2,"10YR",5,3
28411,18,"-33.83333","-59.42444",26,47,"10YR3/2","10YR5/3",14500,13900,,"0.69","6.10","25.40","10YR",3,2,"10YR",5,3
28412,18,"-33.83333","-59.42444",47,107,"7.5YR4/2","7.5YR5/4",25600,23900,,"0.51","6.50","45.30","7.5YR",4,2,"7.5YR",5,4
28520,22,"-34.45722","-62.80778",0,24,"5YR2/2",,14900,10300,"69.00","1.58","6.50","19.30","5YR",2,2,,,
28521,22,"-34.45722","-62.80778",24,39,"5YR4/3",,20200,20800,"100.00","0.44","8.80","27.40","5YR",4,3,,,
28522,22,"-34.45722","-62.80778",39,76,"5YR4/4",,18100,21400,"100.00","0.13","9.40","18.00","5YR",4,4,,,
9,28,"-35.17931","-58.29163",0,10,"10YR3/2","10YR5/1",22900,18600,"81.00","3.41","6.30","23.50","10YR",3,2,"10YR",5,1
28875,28,"-35.17931","-58.29163",10,18,"10YR3/2","10YR5/1",21000,17300,"82.00","2.23","6.80","22.20","10YR",3,2,"10YR",5,1
28876,28,"-35.17931","-58.29163",18,31,"10YR3/3","10YR5/2",15200,14000,"92.00","1.17","6.90","20.90","10YR",3,3,"10YR",5,2
28877,28,"-35.17931","-58.29163",31,50,"7.5YR4/2","7.5YR5/2",26200,22300,"85.00","0.75","6.90","43.50","7.5YR",4,2,"7.5YR",5,2
28878,28,"-35.17931","-58.29163",50,88,"7.5YR4/4","7.5YR6/4",23100,20500,"88.00","0.25","7.40","42.70","7.5YR",4,4,"7.5YR",6,4
27488,38,"-35.78833","-61.93083",0,28,"10YR3/2",,14400,11700,"50.00","1.70","7.30","18.00","10YR",3,2,,,
27489,38,"-35.78833","-61.93083",28,42,"10YR3/3",,12700,10600,"45.00","0.78","6.90","19.60","10YR",3,3,,,
27490,38,"-35.78833","-61.93083",42,70,"10YR4/4",,11000,9900,"38.00","0.45","6.90","18.10","10YR",4,4,,,
15208,46,"-33.82500","-61.55278",0,20,"10YR2.5/2","10YR5/2",22100,18800,"85.00","1.73","6.10","21.90","10YR",2.5,2,"10YR",5,2
15209,46,"-33.82500","-61.55278",20,28,"10YR3/3","10YR5/3",20600,17200,"83.00","0.83","6.40","27.20","10YR",3,3,"10YR",5,3
15210,46,"-33.82500","-61.55278",28,57,"7.5YR4/2","7.5YR5/2",24300,20100,"83.00","0.60","6.40","33.60","7.5YR",4,2,"7.5YR",5,2
28706,51,"-38.80600","-60.35188",0,15,"10YR2/1",,18900,17100,"90.00","2.59","6.50","20.70","10YR",2,1,,,
28707,51,"-38.80600","-60.35188",15,25,"10YR3/1",,19100,16200,"85.00","2.46","6.50","21.40","10YR",3,1,,,
28708,51,"-38.80600","-60.35188",25,52,"7.5YR3/2",,21900,20300,"93.00","1.28","6.50","26.90","7.5YR",3,2,,,
28515,54,"-34.53750","-62.46667",0,23,"10YR3/2","10YR5/2",11400,9300,"92.00","1.21","5.50","12.70","10YR",3,2,"10YR",5,2
28516,54,"-34.53750","-62.46667",23,34,"10YR3/2",,11600,11100,"96.00","0.91","5.90","13.80","10YR",3,2,,,
28517,54,"-34.53750","-62.46667",34,83,"7.5YR4/4","7.5YR6/4",11500,11900,"100.00","0.30","6.20","16.00","7.5YR",4,4,"7.5YR",6,4
28526,63,"-35.62917","-63.28000",0,13,"10YR3/4",,10200,7700,"76.00","1.09","6.30","12.90","10YR",3,4,,,
28527,63,"-35.62917","-63.28000",13,28,"10YR3/4",,7800,6800,"87.00","0.57","6.40","7.30","10YR",3,4,,,
28528,63,"-35.62917","-63.28000",28,40,"10YR4/3",,8000,7200,"90.00","0.42","6.80","8.10","10YR",4,3,,,
28529,63,"-35.62917","-63.28000",40,100,"10YR4/3",,8200,8100,"99.00","0.14","7.60","8.60","10YR",4,3,,,
28530,65,"-35.64889","-63.13222",0,25,"10YR2/2",,11300,10100,"89.00","0.45","7.20","10.10","10YR",2,2,,,
28531,65,"-35.64889","-63.13222",25,50,"10YR3/3",,12100,11900,"98.00","0.38","8.00","12.60","10YR",3,3,,,
28532,65,"-35.64889","-63.13222",50,75,"10YR3/3",,10400,,,"0.17","8.50","10.60","10YR",3,3,,,
28534,70,"-37.24889","-63.26056",0,25,"10YR3/2",,17600,17600,"100.00","1.26","8.80","16.90","10YR",3,2,,,
28535,70,"-37.24889","-63.26056",25,40,"10YR3/4",,21200,,,"0.58","9.50","18.80","10YR",3,4,,,
28536,70,"-37.24889","-63.26056",40,45,,,,,,,,,,,,,,
28563,72,"-34.47028","-63.34250",0,18,"10YR2/2",,9100,7400,"81.00","0.51","6.70","13.40","10YR",2,2,,,
28564,72,"-34.47028","-63.34250",18,28,"10YR3/3",,8400,8300,"99.00","0.27","8.10","10.90","10YR",3,3,,,
28565,72,"-34.47028","-63.34250",28,45,"7.5YR3/2",,20400,,,"0.18","9.30","25.30","7.5YR",3,2,,,
28566,72,"-34.47028","-63.34250",45,80,"7.5YR4/4",,18300,,,"0.04","9.80","21.70","7.5YR",4,4,,,
28544,73,"-36.07361","-63.14944",0,22,"10YR3/2","10YR5/2",12800,,,"1.01","9.50","10.80","10YR",3,2,"10YR",5,2
28545,73,"-36.07361","-63.14944",22,47,"10YR3/3","10YR7/2",10400,,,"0.36","9.80","10.60","10YR",3,3,"10YR",7,2
28546,73,"-36.07361","-63.14944",47,77,"10YR3/4",,9800,10000,"100.00","0.20","9.50","9.80","10YR",3,4,,,
28548,75,"-34.22250","-62.12222",0,28,"10YR3/2",,18400,16800,"91.00","1.63","6.70","23.90","10YR",3,2,,,
28549,75,"-34.22250","-62.12222",28,61,"10YR3/2",,14400,13900,"95.00","0.21","7.20","20.20","10YR",3,2,,,
27330,82,"-35.57961","-57.27650",0,150,"10YR4/4","10YR5/2",3460,4480,"100.00",,"7.20","1.80","10YR",4,4,"10YR",5,2
15233,85,"-33.75282","-61.51624",0,26,"10YR3/2","10YR6/2",15100,13500,"89.00","1.43","6.30","14.80","10YR",3,2,"10YR",6,2
15235,85,"-33.75282","-61.51624",26,42,"7.5YR4/2",,27200,,,"0.24","9.40","7.60","7.5YR",4,2,,,
15236,85,"-33.75282","-61.51624",42,64,"7.5YR4/2",,22800,,,"0.14","9.20","8.10","7.5YR",4,2,,,
15240,86,"-33.75278","-61.15417",0,23,"10YR3/1.5",,20900,16100,"77.00","2.02","5.80","24.40","10YR",3,1.5,,,
15241,86,"-33.75278","-61.15417",23,35,"10YR4/3","10YR6/2",13600,13300,"98.00","0.49","7.90","16.30","10YR",4,3,"10YR",6,2
15242,86,"-33.75278","-61.15417",35,80,"7.5YR4/2",,29000,29000,"100.00","0.40","8.80","34.10","7.5YR",4,2,,,
28551,92,"-35.07639","-63.18889",0,30,"10YR3/2",,10100,8900,"88.00","1.21","5.90","10.30","10YR",3,2,,,
28552,92,"-35.07639","-63.18889",30,40,"10YR3/3",,9400,8500,"90.00","0.23","6.00","9.60","10YR",3,3,,,
28553,92,"-35.07639","-63.18889",40,60,"7.5YR3/2",,16800,5700,"93.00","0.31","6.30","19.60","7.5YR",3,2,,,
28556,107,"-35.56722","-63.38333",0,15,"10YR3/2","10YR5/3",11400,11200,"98.00","1.00","7.50","11.10","10YR",3,2,"10YR",5,3
28557,107,"-35.56722","-63.38333",15,40,"10YR3/2","10YR5/2",10000,8700,"87.00","0.63","7.70","11.60","10YR",3,2,"10YR",5,2
28558,107,"-35.56722","-63.38333",40,45,"10YR7/1","10YR8/1",,,,,,,"10YR",7,1,"10YR",8,1
28559,107,"-35.56722","-63.38333",45,83,"10YR2/1","10YR3/2",12700,11200,"88.00","0.74","6.80","13.60","10YR",2,1,"10YR",3,2
28430,108,"-35.03417","-58.06167",0,15,"10YR3/2",,21100,15300,"73.00","2.39","6.20","24.70","10YR",3,2,,,
28431,108,"-35.03417","-58.06167",15,22,"10YR3/2",,21100,15500,"77.00","2.00","6.10","26.50","10YR",3,2,,,
28432,108,"-35.03417","-58.06167",22,45,"10YR3/2","10YR5/2",16200,14400,"88.00","1.29","6.90","21.50","10YR",3,2,"10YR",5,2
28433,108,"-35.03417","-58.06167",45,90,"10YR2/1","10YR3/1",37300,35600,"95.00","0.85","7.50","47.50","10YR",2,1,"10YR",3,1
28567,112,"-33.55833","-60.81667",0,14,"10YR3/2","10YR5/2",17700,12800,"73.00","1.50","6.20","19.30","10YR",3,2,"10YR",5,2
28568,112,"-33.55833","-60.81667",14,24,"10YR3/2","10YR6/2",16200,14500,"90.00","1.11","7.50","15.00","10YR",3,2,"10YR",6,2
28569,112,"-33.55833","-60.81667",24,48,"7.5YR4/2",,33800,35000,,"0.71","8.60","41.30","7.5YR",4,2,,,
28570,112,"-33.55833","-60.81667",48,75,"10YR4/3",,28100,,,"0.25","9.20","21.10","10YR",4,3,,,
4894,125,"-34.87831","-59.88241",0,24,"10YR2/2",,22000,17100,"78.00","2.06","5.70","21.00","10YR",2,2,,,
4895,125,"-34.87831","-59.88241",24,40,"10YR3/3","10YR5/3",14000,11400,"81.00","0.56","6.30","13.70","10YR",3,3,"10YR",5,3
4896,125,"-34.87831","-59.88241",40,64,"7.5YR4/2",,25300,21400,"85.00","0.37","6.50","35.30","7.5YR",4,2,,,
28437,128,"-35.19111","-57.66917",0,22,"10YR3/2",,20400,14500,"71.00","2.50","6.30","28.40","10YR",3,2,,,
28438,128,"-35.19111","-57.66917",22,53,"10YR2/1",,43800,40800,"93.00","1.02","7.60","60.70","10YR",2,1,,,
28425,154,"-38.20796","-58.67430",0,14,"10YR2/1","10YR3/2",24300,18000,"74.00","3.62","6.00","22.90","10YR",2,1,"10YR",3,2
28426,154,"-38.20796","-58.67430",14,26,"10YR2/1","10YR3/2",24300,19400,"80.00","2.84","6.00","22.90","10YR",2,1,"10YR",3,2
28427,154,"-38.20796","-58.67430",26,44,"10YR3/3",,28800,24000,"83.00","1.06","6.40","36.90","10YR",3,3,,,
28428,154,"-38.20796","-58.67430",44,56,"10YR3/4",,21300,20100,"94.00","0.46","6.70","24.60","10YR",3,4,,,
28573,173,"-33.82111","-62.05000",0,19,"10YR3/2","10YR5/2",12200,12000,"98.00","1.23","7.40","17.80","10YR",3,2,"10YR",5,2
28574,173,"-33.82111","-62.05000",19,32,"10YR3/2",,11300,10900,"97.00","0.61","7.30","14.60","10YR",3,2,,,
28575,173,"-33.82111","-62.05000",32,44,"10YR4/3",,7300,13200,"100.00","0.30","8.40","11.50","10YR",4,3,,,
28576,173,"-33.82111","-62.05000",44,80,"7.5YR4/4",,20000,,,"0.06","9.10","22.90","7.5YR",4,4,,,
28579,176,"-34.54389","-61.42111",0,30,"10YR2/1",,12200,10800,"88.00","1.29","6.30","12.10","10YR",2,1,,,
28580,176,"-34.54389","-61.42111",30,70,"7.5YR3/2",,11700,10800,"93.00","0.37","6.80","14.10","7.5YR",3,2,,,
28583,180,"-33.66389","-61.24444",0,16,"10YR3/2",,17100,12900,"75.00","1.34","5.60","21.40","10YR",3,2,,,
28584,180,"-33.66389","-61.24444",16,25,"10YR3/3",,12400,12000,"97.00","0.49","7.60","14.00","10YR",3,3,,,
28585,180,"-33.66389","-61.24444",25,61,"7.5YR4/2",,30200,,,"0.42","9.00","38.80","7.5YR",4,2,,,
28689,185,"-35.11333","-57.59972",0,28,"10YR3/2","10YR5/2",19100,16400,"85.00","1.97","5.80","27.20","10YR",3,2,"10YR",5,2
28690,185,"-35.11333","-57.59972",28,70,"10YR2/1","10YR4/1",39200,37500,"94.00","1.08","6.80","60.50","10YR",2,1,"10YR",4,1
28485,189,"-33.86389","-60.66806",0,13,"10YR4/2","10YR6/2",16100,,,"0.94","9.10","17.80","10YR",4,2,"10YR",6,2
28486,189,"-33.86389","-60.66806",13,20,"10YR4/3","10YR6/2",22500,,,"0.68","9.90","27.30","10YR",4,3,"10YR",6,2
28487,189,"-33.86389","-60.66806",20,37,"10YR4/2","10YR5/3",40000,,,"0.54","9.80","43.70","10YR",4,2,"10YR",5,3
28488,189,"-33.86389","-60.66806",37,60,"7.5YR4/4","7.5YR5/4",34300,,,"0.32","9.50","36.10","7.5YR",4,4,"7.5YR",5,4
28588,197,"-38.36285","-60.45918",0,13,"10YR2/2","10YR4/1",25600,21300,,"3.35","5.90","27.30","10YR",2,2,"10YR",4,1
28589,197,"-38.36285","-60.45918",13,38,"10YR2/2","10YR5/1",22700,20800,,"2.38","6.00","27.40","10YR",2,2,"10YR",5,1
28590,197,"-38.36285","-60.45918",38,60,"7.5YR3/2","7.5YR5/2",22100,18500,,"1.24","6.00","30.10","7.5YR",3,2,"7.5YR",5,2
28443,199,"-36.83750","-57.50278",0,21,"10YR2/1","10YR5/2",26400,22600,"86.00","3.35","6.20","29.90","10YR",2,1,"10YR",5,2
28444,199,"-36.83750","-57.50278",21,30,"10YR3/3","10YR6/3",11300,11400,"100.00","0.56","7.50","22.90","10YR",3,3,"10YR",6,3
28445,199,"-36.83750","-57.50278",30,57,"7.5YR3/2",,34900,,,"0.34","8.20","49.20","7.5YR",3,2,,,
28595,219,"-35.31444","-57.53167",0,22,"10YR2/1",,20900,15300,"73.00","2.15","6.30","32.10","10YR",2,1,,,
29399,219,"-35.31444","-57.53167",22,63,"10YR2/2",,39100,34700,"89.00","0.92","7.30","57.90","10YR",2,2,,,
