idh	idp	top	cec	ca	mg	k	na	bsum_sisinta	bsum_calculada	bsat
28358	1	0	14.1	7	2.8	2.3	0.4	12.5	7	88.6524822695036
28359	1	18	16.6	10.8	3	2.2	0.4	16.4	3	98.7951807228916
1924	3	0	20.8	10.3	3.2	3.2	0.3	17	0	81.7307692307692
1925	3	12	18.4	9.5	3.5	2.8	0.4	16.2	0	88.0434782608696
28684	4	0	24.3	15.1	3.1	2.3	0.3	20.8	0	85.59670781893
28685	4	21	34.5	18.4	6.9	3.5	1	29.8	1	86.3768115942029
28381	6	0	8	5.2	2.4	1.4	0.3	9.3	0	116.25
28392	7	0	7.9	3.7	2.5	2.6	0.4	9.2	0	116.455696202532
28408	18	0	16.2	10.4	1.5	3.2	0.1	15.2	0	93.8271604938272
28409	18	14	16.9	12.1	1.8	1.8	0.6	16.3	0	96.4497041420119
28520	22	0	14.9	4.4	3.9	1.4	0.6	10.3	0	69.1275167785235
28521	22	24	20.2	6	6.7	2.4	5.7	20.8	6	102.970297029703
9	28	0	22.9	13.2	2.8	2.3	0.3	18.6	0	81.2227074235808
28875	28	10	21	13.2	2.4	1.4	0.3	17.3	0	82.3809523809524
28876	28	18	15.2	9.6	2.7	1.4	0.3	14	0	92.1052631578947
27488	38	0	14.4	6.3	2.2	2	1.2	11.7	2	81.25
15208	46	0	22.1	11.8	3.7	3.1	0.2	18.8	0	85.0678733031674
15209	46	20	20.6	10.4	3.5	3.1	0.2	17.2	0	83.495145631068
28706	51	0	18.9	12.8	2.4	1.5	0.4	17.1	0	90.4761904761905
28707	51	15	19.1	12.5	1.6	1.7	0.4	16.2	0	84.8167539267016
28515	54	0	11.4	6.9	2.2	1.1	0.3	9.3	0	81.5789473684211
28516	54	23	11.6	7.7	2	1.1	0.3	11.1	2	95.6896551724138
28526	63	0	10.2	4.6	0.7	2	0.4	7.7	2	75.4901960784314
28527	63	13	7.8	4.4	0.6	1.4	0.4	6.8	0	87.1794871794872
28530	65	0	11.3	5.1	2.1	1.3	1.6	10.1	0	89.3805309734513
28534	70	0	17.6	6.1	2.3	1.2	8	17.6	8	100
28563	72	0	9.1	3.8	1.3	1.5	0.8	7.4	0	81.3186813186813
28564	72	18	8.4	3.3	1.1	1.6	2.3	8.3	0	98.8095238095238
28544	73	0	12.8			3.3	5.3		0	
28545	73	22	10.4			2.1	5.9		0	
28548	75	0	18.4	10.5	2.3	3.5	0.5	16.8	0	91.304347826087
27330	82	0	3.46	2.83	1.16	0.25	0.24	4.48	0	129.479768786127
15233	85	0	15.1	5.9	2.2	2	3.4	13.5	2	89.4039735099338
15240	86	0	20.9	11.1	2.4	1.3	1.3	16.1	0	77.0334928229665
15241	86	23	13.6	7.2	2.2	0.9	3	13.3	3	97.7941176470588
28551	92	0	10.1	4.9	1.2	2.5	0.3	8.9	0	88.1188118811881
28556	107	0	11.4	6.5	1.9	2.6	0.2	11.2	0	98.2456140350877
28557	107	15	10	4.5	1.4	2.4	0.4	8.7	0	87
28430	108	0	21.1	12.6	1.7	0.8	0.2	15.3	0	72.5118483412322
28431	108	15	21.1	12.8	1.9	0.5	0.3	15.5	0	73.4597156398104
28432	108	22	16.2	11.4	2.4	0.2	0.4	14.4	0	88.8888888888889
28567	112	0	17.7	8.1	2.3	0.7	1.7	12.8	0	72.316384180791
28568	112	14	16.2	7.7	3.3	1.2	2.4	14.5	0	89.5061728395062
28569	112	24	33.8	13.1	9	4.9	8	35	17	100
4894	125	0	22	13.2	1.5	2.3	0.1	17.1	0	77.7272727272727
4895	125	24	14	9.2	1	1.1	0.1	11.4	1	81.4285714285714
